city,issue_date,target_date,lead_days,precip_mm,temp_max_c,temp_min_c,wind_speed_kmh,wind_dir_deg,pressure_hpa
Gdansk,2026-09-06,2026-09-06,0,1.2,20.0,10.0,15.0,270,1012.0
Gdansk,2026-09-06,2026-09-07,1,0.0,22.0,11.0,20.0,280,1010.0
Krakow,2026-09-06,2026-09-06,0,0.0,20.0,13.4,20.5,278,998.2
Krakow,2026-09-06,2026-09-07,1,0.0,22.8,10.6,10.4,94,998.6
Krakow,2026-09-06,2026-09-08,2,0.0,30.5,15.9,12.2,244,989.5
Krakow,2026-09-06,2026-09-09,3,0.0,31.0,18.8,12.0,202,983.2
Krakow,2026-09-06,2026-09-10,4,2.1,18.5,12.4,18.3,265,987.3
Krakow,2026-09-06,2026-09-11,5,0.0,18.9,11.1,10.7,264,996.3
Krakow,2026-09-06,2026-09-12,6,0.0,19.7,9.7,5.5,83,997.2
